VehID,int,Hr,link_speed_av,NOx,HC,CO,PM,PN,NO,veh_group
6310_100,450878651,450866127,0.1984127036162785,0.004111042786479253,0.0043072605464214275,0.025503886730162368,8.209881792804893e-5,78512315954.20801,0.0018342177183459185,car
6310_100,450878797,450866273,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_100,450878893,450866369,0,0.0011745836532797865,0.0012306458704061222,0.007286824780046391,2.3456805122299695e-5,22432090272.63086,5.24062205241691e-4,car
6310_100,450879911,450867387,2.2263071580844764,0.04140725446045544,0.023438560012668447,0.14298534324642168,0.001043985066298921,1193499466305.5747,0.01974175049407149,car
6310_100,450879912,450867387,4.120370229085287,0.005553487890580315,0.0022911043849179503,0.014312680913640841,1.4916870610382825e-4,177073162131.26706,0.0027020132820219866,car
6310_101,450878651,450866127,0,0.004111042786479253,0.0043072605464214275,0.025503886730162368,8.209881792804893e-5,78512315954.20801,0.0018342177183459185,car
6310_101,450878797,450866273,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_101,450878893,450866369,0,0.002349167306559573,0.0024612917408122444,0.014573649560092782,4.691361024459939e-5,44864180545.26172,0.001048124410483382,car
6310_101,450879911,450867387,0.05050505291331898,0.006460210093038826,0.006768552287233672,0.04007753629025515,1.2901242817264831e-4,123376496499.46973,0.0028823421288293005,car
6310_103,450878651,450866127,0,0.0011745836532797865,0.0012306458704061222,0.007286824780046391,2.3456805122299695e-5,22432090272.63086,5.24062205241691e-4,car
6310_103,450878797,450866273,0.3086419900258382,0.005285626439759039,0.00553790641682755,0.03279071151020876,1.0555562305034863e-4,100944406226.83887,0.0023582799235876096,car
6310_103,450878893,450866369,0,0.0011745836532797865,0.0012306458704061222,0.007286824780046391,2.3456805122299695e-5,22432090272.63086,5.24062205241691e-4,car
6310_103,450879911,450867387,0,0.0011745836532797865,0.0012306458704061222,0.007286824780046391,2.3456805122299695e-5,22432090272.63086,5.24062205241691e-4,car
6310_105,450878651,450866127,0,5.872918266398932e-4,6.153229352030611e-4,0.0036434123900231956,1.1728402561149847e-5,11216045136.31543,2.620311026208455e-4,car
6310_105,450878797,450866273,0.12152777984738351,0.004698334613119146,0.004922583481624489,0.029147299120185564,9.382722048919878e-5,89728361090.52344,0.002096248820966764,car
6310_105,450878893,450866369,0,0.007047501919678719,0.007383875222436734,0.04372094868027834,1.4074083073379817e-4,134592541635.78516,0.003144373231450146,car
