cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 27.92993,
idle,0
-0.2,0.0003578634
-0.1,0.1033364
0,3.974446
0.1,25.51285
0.2,45.43037
0.3,63.74374
0.4,83.13167
0.5,103.9506
0.6,130.1382
0.7,143.5988
0.8000001,169.8763
0.9000001,195.8155
1,213.5148
