cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 19.60467,Extrapolation: Pe: -1.5 - -0.75; 2.75 - 6
idle,0.2780349,0.04533209,0.8863156,0.00284657,2.640331E+12,0.2613525
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,1.994869,0.08143973,6.637587,0.2826164,4.864371E+13,1.875177
-0.25,0.8992622,0.06272431,4.690166,0.07087263,1.977647E+13,0.8453065
0,1.728692,0.1183053,7.169466,0.09384755,2.098448E+13,1.624971
0.25,2.257421,0.3751564,20.19966,0.1140245,4.050834E+13,2.121976
0.5,3.842182,0.633406,28.27675,0.1520667,5.081203E+13,3.61165
0.75,5.402134,1.386824,73.0245,0.3770533,9.369218E+13,5.078006
1,7.641269,2.356056,144.959,0.7055658,1.793975E+14,7.182791
1.25,7.204895,4.222199,362.8125,1.145294,3.671677E+14,6.772603
1.5,9.940314,7.228072,908.785,1.853376,6.288788E+14,9.343893
1.75,11.44437,12.48421,1913.751,4.443386,9.275347E+14,10.75771
2,8.297203,18.04008,3112.316,5.081323,1.209444E+15,7.79937
2.25,7.648674,21.8437,4422.269,8.020141,1.306217E+15,7.189753
2.5,9.144505,18.29866,3555.101,8.950386,1.449273E+15,8.595835
2.75,10.05896,20.12852,3910.611,9.845425,1.5942E+15,9.455419
3,10.97341,21.95839,4266.121,10.74046,1.739127E+15,10.315
3.25,11.88786,23.78826,4621.631,11.6355,1.884055E+15,11.17459
3.5,12.80231,25.61812,4977.141,12.53054,2.028982E+15,12.03417
3.75,13.71676,27.44799,5332.651,13.42558,2.173909E+15,12.89375
4,14.63121,29.27786,5688.162,14.32062,2.318836E+15,13.75334
4.25,15.54566,31.10772,6043.672,15.21566,2.463763E+15,14.61292
4.5,16.46011,32.93759,6399.182,16.11069,2.608691E+15,15.47251
4.75,17.37456,34.76745,6754.692,17.00573,2.753618E+15,16.33209
5,18.28901,36.59732,7110.203,17.90077,2.898545E+15,17.19167
5.25,19.20346,38.42718,7465.713,18.79581,3.043472E+15,18.05125
5.5,20.11791,40.25705,7821.223,19.69085,3.1884E+15,18.91084
5.75,21.03236,42.08691,8176.733,20.58589,3.333327E+15,19.77042
6,21.94681,43.91677,8532.243,21.48093,3.478254E+15,20.63
