cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 27.26986,
idle,5.358334
-0.2,5.596591
-0.1,16.71714
0,24.28887
0.1,42.19201
0.2,55.06359
0.3,72.68822
0.4,89.51057
0.5,104.5449
0.6,118.321
0.7,132.8074
0.8000001,147.0452
0.9000001,163.7548
1,171.5093
