cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 19.46918,Extrapolation: Pe: 0.9000001 - 1
idle,9.249853
-0.2,3.199757
-0.1,11.40435
0,20.96382
0.1,40.34039
0.2,62.86516
0.3,90.88921
0.4,112.6767
0.5,139.9931
0.6,162.7342
0.7,189.2164
0.8000001,207.0287
0.9000001,232.9072
1,258.7858
