cp_norm(rated),FC
[-],[g/h/kWrated]
Pdrive (Engine)= 233.5157,Extrapolation: Pe: -0.2
idle,11.58149
-0.2,0
-0.1,2.751032
0,10.65834
0.1,36.05599
0.2,51.53034
0.3,67.05609
0.4,85.30467
0.5,104.1224
0.6,122.3112
0.7,140.5124
0.8000001,158.1263
0.9000001,176.5735
1,193.8177
