cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 241.6984,Extrapolation: Pe: -0.2,,,,,
idle,0.439041425,0.00257665,0.23190865,0.003125517,2.77842E+12,0.395285375
-0.2,0,0,0,0,0,0
-0.1,0.020435778,0.002806856,0.057800605,0.00183067,3.47555E+12,0.018201578
0,0.19441475,0.003694806,0.098038243,0.002259482,4.86596E+12,0.1750437
0.1,0.669114975,0.005889493,0.220696375,0.006137521,8.88396E+12,0.601052525
0.2,0.904154975,0.007997594,0.2917551,0.010423528,1.27232E+13,0.8090132
0.3,1.216217,0.009511129,0.3742716,0.014728748,1.60495E+13,1.08911455
0.4,1.53171275,0.011606742,0.463133475,0.01565554,1.56418E+13,1.37475725
0.5,1.82159125,0.012690355,0.627078875,0.017300253,1.56512E+13,1.629781
0.6,2.090119,0.014262063,0.6756364,0.01802441,1.6328E+13,1.86797925
0.7,2.55704275,0.015038288,0.69462115,0.01674181,1.6893E+13,2.277963
0.8000001,2.37255425,0.01596034,0.5966487,0.015821278,1.65678E+13,2.1069495
0.9000001,2.84826375,0.016337265,0.55088895,0.014082245,1.37716E+13,2.5401765
1,2.42653075,0.01670202,0.452632775,0.012012953,1.10917E+13,2.138867
