cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 337.8508,Extrapolation: Pe: -0.2
idle,0.3849477,0.02045435,0.0359158,0.004729847,5.13278E+12,0.3479488
-0.2,0,0,0,0,0,0
-0.1,0.215759,0.02275868,0.07773899,0.01961544,7.692694E+12,0.1742398
0,0.3779715,0.04128429,0.163024,0.02367128,8.791005E+12,0.3270382
0.1,1.097902,0.07701266,0.3436514,0.02233296,3.517122E+13,0.9731022
0.2,1.440274,0.07699632,0.4019889,0.03082719,4.826485E+13,1.3118
0.3,1.881011,0.07908816,0.4571807,0.03843137,5.680433E+13,1.751993
0.4,2.243309,0.07418939,0.5380869,0.04033871,5.819018E+13,2.112141
0.5,2.567661,0.08215833,0.6332126,0.04367937,6.594215E+13,2.451687
0.6,3.001431,0.08483824,0.7610093,0.04801087,7.334251E+13,2.887025
0.7,3.478832,0.08572012,0.8193331,0.04970529,7.156304E+13,3.364628
0.8000001,4.07219,0.08802222,0.7902905,0.05250688,6.828085E+13,3.927622
0.9000001,4.574792,0.0974513,0.7160558,0.05998446,4.026428E+13,4.411191
1,4.665269,0.1111917,0.7256449,0.07276706,4.240498E+13,4.513435
