cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 36.07858,
idle,5.761684
-0.2,6.342852
-0.1,18.40256
0,26.06876
0.1,44.62772
0.2,59.40517
0.3,77.92045
0.4,93.68951
0.5,111.6379
0.6,127.3706
0.7,143.3782
0.8000001,156.8721
0.9000001,176.7573
1,184.8518
