cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 33.04147,Extrapolation: Pe: -1.5 - -0.75; 2.75 - 6
idle,0.8295364,0.7197031,7.908479,0.006899778,4.288785E+12,0.7797632
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,11.81176,0.4251596,17.58951,0.6500604,7.302174E+13,11.10306
-0.25,3.277915,0.3734795,18.20456,0.1589798,3.155353E+13,3.081241
0,8.444722,0.8307315,29.0913,0.2389423,3.454425E+13,7.938041
0.25,11.18427,2.212245,70.85133,0.2990297,6.446062E+13,10.51321
0.5,22.14835,3.410844,93.75813,0.49162,8.073967E+13,20.81945
0.75,30.77035,6.629265,199.7001,1.339988,1.395914E+14,28.92412
1,45.35378,10.75406,385.1524,2.887127,2.578924E+14,42.63256
1.25,42.8116,19.66217,870.7244,4.481949,5.060746E+14,40.2429
1.5,53.07673,30.75066,1835.503,6.868186,8.929825E+14,49.89214
1.75,71.84409,57.01811,4243.91,13.69453,1.309382E+15,67.53343
2,56.47333,82.94128,7222.365,23.03308,1.729901E+15,53.08492
2.25,42.8078,108.5173,10477.06,28.16116,2.200036E+15,40.23934
2.5,52.31781,91.04979,10628.67,40.93876,2.241964E+15,49.17874
2.75,57.54959,100.1548,11691.53,45.03263,2.466161E+15,54.09661
3,62.78137,109.2598,12754.4,49.12651,2.690357E+15,59.01449
3.25,68.01315,118.3647,13817.26,53.22038,2.914554E+15,63.93236
3.5,73.24493,127.4697,14880.13,57.31426,3.13875E+15,68.85023
3.75,78.47671,136.5747,15943,61.40813,3.362947E+15,73.76811
4,83.70849,145.6797,17005.86,65.50201,3.587143E+15,78.68599
4.25,88.94027,154.7847,18068.73,69.59588,3.811339E+15,83.60387
4.5,94.17205,163.8896,19131.6,73.68975,4.035536E+15,88.52174
4.75,99.40383,172.9946,20194.46,77.78362,4.259732E+15,93.43962
5,104.6356,182.0996,21257.33,81.87749,4.483929E+15,98.3575
5.25,109.8674,191.2046,22320.2,85.97137,4.708125E+15,103.2754
5.5,115.0992,200.3096,23383.07,90.06524,4.932322E+15,108.1933
5.75,120.331,209.4145,24445.93,94.15911,5.156518E+15,113.1111
6,125.5627,218.5195,25508.8,98.25298,5.380714E+15,118.029
