cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 21.7612,
idle,9.568793
-0.2,17.13631
-0.1,17.07544
0,29.87715
0.1,46.47744
0.2,66.0094
0.3,83.91162
0.4,104.8397
0.5,120.087
0.6,141.917
0.7,169.3313
0.8000001,193.4971
0.9000001,206.6631
1,212.0559
