cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 338.2502,Extrapolation: Pe: -0.2
idle,0.331928,0.02528845,0.04993954,0.005228366,3.458237E+12,0.298979
-0.2,0,0,0,0,0,0
-0.1,0.1675943,0.02773588,0.04714129,0.02038172,5.179034E+12,0.1288916
0,0.4063691,0.04356617,0.05399716,0.01132701,4.763834E+12,0.3500758
0.1,1.082481,0.08740496,0.2970591,0.0259117,2.252403E+13,1.070174
0.2,1.69426,0.09027402,0.3558176,0.03913157,3.197564E+13,1.666125
0.3,2.35172,0.09041686,0.4422128,0.05093335,3.812854E+13,2.286464
0.4,2.961127,0.08554561,0.549719,0.06221696,3.93655E+13,2.879786
0.5,3.461784,0.09481663,0.6940505,0.07265188,4.527333E+13,3.386616
0.6,3.932954,0.1026264,0.8266565,0.08386619,4.971813E+13,3.861124
0.7,4.510431,0.1007214,0.940737,0.08751702,4.981061E+13,4.406435
0.8000001,5.115073,0.106881,0.8023584,0.07862224,4.589193E+13,4.903978
0.9000001,5.752474,0.1276024,0.6885563,0.0781256,2.785514E+13,5.464096
1,6.022658,0.1461661,0.7221379,0.08875056,2.772545E+13,5.716426
