cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 233.5157,Extrapolation: Pe: -0.2
idle,0.3268549,0.04097689,0.08064797,0.02024941,3.45812E+12,0.2986404
-0.2,0,0,0,0,0,0
-0.1,0.1363974,0.03563024,0.005449884,0.02547757,5.895691E+12,0.08607528
0,0.4099353,0.0849538,0.1588006,0.06941518,1.066636E+13,0.3860199
0.1,1.074721,0.1631324,0.4181679,0.0694571,2.49962E+13,1.054513
0.2,1.555982,0.1696546,0.4404548,0.07465199,3.424978E+13,1.516499
0.3,2.150961,0.1731576,0.4560821,0.08467308,3.973572E+13,2.078871
0.4,2.867091,0.1594154,0.4034033,0.08762274,3.690852E+13,2.754442
0.5,3.388576,0.1858968,0.5553763,0.1111974,4.24694E+13,3.289626
0.6,4.107648,0.1847123,0.7407016,0.1267132,4.480091E+13,3.974472
0.7,4.809664,0.1776554,0.953709,0.1386678,3.957825E+13,4.629778
0.8000001,5.384711,0.1898178,1.251303,0.1605907,4.307117E+13,5.146035
0.9000001,5.880885,0.2070733,1.191355,0.2009679,2.901733E+13,5.634647
1,6.271839,0.2155257,1.410169,0.2479966,2.220584E+13,6.115393
