cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 24.71847,Extrapolation: Pe: -1.5 - -0.75; 3 - 6
idle,0.645202,0.5597726,6.151067,0.005366493,3.335711E+12,0.6064848
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,8.839142,0.3391749,12.95116,0.4433126,4.597301E+13,8.308794
-0.25,2.687877,0.2988526,14.40536,0.1240962,2.442396E+13,2.526606
0,6.381495,0.6426072,22.57713,0.1823262,2.68034E+13,5.998606
0.25,8.43838,1.674995,54.18373,0.2269824,4.949121E+13,7.932076
0.5,17.05884,2.804908,83.47083,0.4424866,6.520859E+13,16.03531
0.75,26.751,4.829585,134.8659,1.010179,1.017611E+14,25.14595
1,33.71601,8.733553,305.2214,2.132717,1.773299E+14,31.69305
1.25,32.13448,13.94393,587.8253,3.122799,3.566312E+14,30.2064
1.5,36.38586,21.85025,1134.941,5.060046,6.002397E+14,34.20271
1.75,53.66427,38.3548,2779.641,8.209477,9.278373E+14,50.4444
2,47.16533,51.75839,4130.276,19.3394,1.270671E+15,44.33541
2.25,33.56301,81.35266,7571.256,20.42613,1.700118E+15,31.54924
2.5,39.27516,78.71076,9060.163,32.69032,1.648966E+15,36.91865
2.75,42.29549,62.02455,7140.126,30.53671,1.845944E+15,39.75776
3,46.14054,67.66314,7789.229,33.31277,2.013757E+15,43.3721
3.25,49.98558,73.30173,8438.331,36.08884,2.181571E+15,46.98645
3.5,53.83062,78.94033,9087.434,38.8649,2.349384E+15,50.60079
3.75,57.67567,84.57893,9736.536,41.64097,2.517197E+15,54.21513
4,61.52071,90.21752,10385.64,44.41703,2.68501E+15,57.82947
4.25,65.36575,95.85612,11034.74,47.1931,2.852823E+15,61.44381
4.5,69.2108,101.4947,11683.84,49.96917,3.020637E+15,65.05816
4.75,73.05585,107.1333,12332.95,52.74523,3.18845E+15,68.6725
5,76.90089,112.7719,12982.05,55.5213,3.356263E+15,72.28684
5.25,80.74594,118.4105,13631.15,58.29736,3.524076E+15,75.90118
5.5,84.59099,124.0491,14280.25,61.07343,3.691889E+15,79.51553
5.75,88.43604,129.6877,14929.36,63.84949,3.859703E+15,83.12987
6,92.28108,135.3263,15578.46,66.62556,4.027516E+15,86.74421
