cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 19.96915,Extrapolation: Pe: -1.5 - -0.75; 3 - 6
idle,0.04734788,0.05243922,2.828032,0.0005244911,3.090373E+12,0.04450654
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,0.2869708,0.4540816,70.4733,0.2438536,5.149134E+13,0.2697525
-0.25,0.2254434,0.3063786,33.30542,0.1103554,2.77529E+13,0.2119167
0,0.3346972,0.324996,45.44453,0.1264007,3.295576E+13,0.3146154
0.25,0.6699281,0.4760973,67.86974,0.1840947,7.011717E+13,0.6297326
0.5,0.8687283,0.7527736,101.4498,0.2541187,8.218531E+13,0.8166047
0.75,1.027618,1.257683,152.387,0.343522,9.613895E+13,0.9659613
1,1.25772,2.045642,267.7448,0.4653543,1.5833E+14,1.182257
1.25,1.441409,2.761038,337.4057,0.6694925,3.295006E+14,1.354925
1.5,1.73173,3.705257,581.9144,1.06111,5.475837E+14,1.627826
1.75,2.146939,5.062449,868.0878,1.487212,7.672091E+14,2.018123
2,2.47321,6.976875,1607.38,3.458733,1.143854E+15,2.324817
2.25,2.181669,9.799956,2237.11,4.687068,1.54497E+15,2.050769
2.5,2.286704,11.74639,2797.679,6.900558,1.516019E+15,2.149502
2.75,2.544523,11.56016,2582.134,4.053507,1.631994E+15,2.391852
3,2.775844,12.61109,2816.874,4.422008,1.780357E+15,2.609293
3.25,3.007164,13.66201,3051.613,4.790509,1.92872E+15,2.826734
3.5,3.238485,14.71294,3286.353,5.159009,2.077083E+15,3.044175
3.75,3.469805,15.76386,3521.092,5.52751,2.225446E+15,3.261616
4,3.701125,16.81478,3755.832,5.896011,2.373809E+15,3.479058
4.25,3.932446,17.86571,3990.571,6.264512,2.522172E+15,3.696499
4.5,4.163766,18.91663,4225.311,6.633012,2.670536E+15,3.91394
4.75,4.395086,19.96756,4460.05,7.001513,2.818899E+15,4.131381
5,4.626407,21.01848,4694.789,7.370014,2.967262E+15,4.348822
5.25,4.857727,22.0694,4929.528,7.738514,3.115625E+15,4.566263
5.5,5.089047,23.12033,5164.268,8.107015,3.263988E+15,4.783704
5.75,5.320368,24.17125,5399.007,8.475515,3.412352E+15,5.001145
6,5.551688,25.22218,5633.746,8.844016,3.560715E+15,5.218586
