cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 233.3677,Extrapolation: Pe: -0.2
idle,0.3271458,0.02528504,0.05395495,0.005231882,3.45797E+12,0.2989664
-0.2,0,0,0,0,0,0
-0.1,0.1532286,0.02833658,-0.001653564,0.01247419,5.309652E+12,0.1047651
0,0.4100355,0.04612689,0.06879142,0.01024454,8.053079E+12,0.3769256
0.1,1.097402,0.09282013,0.2544952,0.01983931,2.346562E+13,1.072303
0.2,1.699352,0.09653247,0.2853507,0.03274732,3.282808E+13,1.648164
0.3,2.31871,0.09845886,0.3611464,0.04414942,3.83483E+13,2.230607
0.4,2.960426,0.092091,0.4048235,0.05093506,3.77041E+13,2.841222
0.5,3.47313,0.1018632,0.5595297,0.06521765,4.301151E+13,3.378486
0.6,4.132146,0.09640647,0.6771699,0.06641379,4.506463E+13,3.969871
0.7,4.71894,0.1041907,0.6534657,0.06683717,4.013762E+13,4.536948
0.8000001,5.263842,0.1196568,0.6520627,0.06939836,4.213312E+13,5.030936
0.9000001,5.517833,0.1197914,0.8967276,0.09366067,2.771052E+13,5.416368
1,6.105624,0.1398141,0.630686,0.06404365,1.997846E+13,5.832829
