cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 339.0828,Extrapolation: Pe: -0.2
idle,0.4035065,0.05419352,0.1067862,0.0241916,3.457943E+12,0.3647793
-0.2,0,0,0,0,0,0
-0.1,0.1687034,0.05043835,0.05777912,0.04303682,5.229118E+12,0.1105364
0,0.4221819,0.08927096,0.185646,0.05162166,6.820882E+12,0.3775429
0.1,1.473969,0.1948485,0.561861,0.0954119,2.39861E+13,1.437795
0.2,2.135586,0.2098337,0.6454228,0.1143085,3.356894E+13,2.081227
0.3,2.981437,0.1873545,0.6682926,0.1314522,3.91635E+13,2.880192
0.4,4.001911,0.1450336,0.6218035,0.1365563,3.818791E+13,3.84802
0.5,5.005389,0.148633,0.7513361,0.1626929,4.339143E+13,4.820452
0.6,6.070988,0.1481196,0.8817059,0.1874971,4.897699E+13,5.845465
0.7,7.234699,0.1467586,0.8635435,0.1884682,4.423719E+13,6.956056
0.8000001,8.144163,0.1467241,1.013287,0.2248425,4.631568E+13,7.794143
0.9000001,9.331525,0.1620554,0.9212903,0.2347963,2.687255E+13,8.774505
1,9.976143,0.1794908,1.002076,0.2587532,2.989036E+13,9.359474
