cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 18.86038,Extrapolation: Pe: -1.5 - -1; 2.75 - 6
idle,6.571716,0.7075102,2.738772,0.6300958,4.470326E+14,6.045915
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0.8255539,0.8671841,2.192706,0.5068707,5.151154E+14,0.7595095
-0.5,2.217623,1.880993,4.895562,0.8599263,1.114051E+15,2.040213
-0.25,5.646982,3.562961,10.53561,2.004577,1.950185E+15,5.195223
0,10.30175,3.975679,13.33926,2.652026,2.101074E+15,9.477606
0.25,21.35098,5.548742,23.41222,3.585571,2.852241E+15,19.64292
0.5,34.75254,6.328736,35.87598,5.028307,3.602428E+15,31.97235
0.75,53.02646,6.502903,43.20228,7.912104,4.60022E+15,48.78434
1,73.68337,6.939878,50.69487,11.70856,5.376906E+15,67.7887
1.25,99.34084,7.715413,54.09482,15.36893,6.235373E+15,91.39358
1.5,124.0246,8.007071,55.54353,18.18715,6.879369E+15,114.1026
1.75,158.319,8.172443,61.17374,21.76517,7.759048E+15,145.6535
2,173.688,9.019354,70.48228,21.75286,7.383018E+15,159.793
2.25,198.0601,9.508689,91.11211,26.08877,8.914402E+15,182.2153
2.5,220.4282,9.798008,135.6674,31.57572,1.005395E+16,202.794
2.75,242.471,10.77781,149.2342,34.73329,1.105934E+16,223.0734
3,264.5139,11.75761,162.8009,37.89086,1.206474E+16,243.3528
3.25,286.5567,12.73741,176.3676,41.04843,1.307013E+16,263.6322
3.5,308.5995,13.71721,189.9344,44.206,1.407553E+16,283.9116
3.75,330.6423,14.69701,203.5011,47.36357,1.508092E+16,304.1909
4,352.6851,15.67682,217.0679,50.52114,1.608632E+16,324.4703
4.25,374.7279,16.65662,230.6346,53.67871,1.709171E+16,344.7497
4.5,396.7708,17.63642,244.2014,56.83628,1.80971E+16,365.0291
4.75,418.8136,18.61622,257.7681,59.99385,1.91025E+16,385.3085
5,440.8564,19.59602,271.3348,63.15142,2.010789E+16,405.5879
5.25,462.8992,20.57582,284.9016,66.30899,2.111329E+16,425.8673
5.5,484.942,21.55562,298.4683,69.46656,2.211868E+16,446.1467
5.75,506.9848,22.53542,312.0351,72.62413,2.312407E+16,466.4261
6,529.0276,23.51522,325.6018,75.7817,2.412947E+16,486.7054
