cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 20.33981,
idle,5.358383
-0.2,5.737406
-0.1,16.59517
0,24.93401
0.1,41.80795
0.2,56.18738
0.3,72.27843
0.4,87.94669
0.5,104.0512
0.6,120.1882
0.7,128.5325
0.8000001,149.4562
0.9000001,164.4787
1,171.5407
