cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 240.6907,Extrapolation: Pe: -0.2
idle,0.7134045,0.07836499,0.1801696,0.02653038,4.622498E+12,0.6696486
-0.2,0,0,0,0,0,0
-0.1,0.1329915,0.03734213,0.02012987,0.02571704,1.081207E+13,0.0922112
0,0.5084572,0.1052037,0.1959452,0.08708841,2.022657E+13,0.4568492
0.1,1.144398,0.1793205,0.4131297,0.07627558,2.75841E+13,1.058383
0.2,1.56542,0.1804426,0.4197594,0.07851318,3.657496E+13,1.452733
0.3,2.100192,0.2151393,0.5090027,0.105471,5.408055E+13,1.964359
0.4,2.802987,0.1947863,0.4134206,0.1055468,4.451154E+13,2.616238
0.5,3.364511,0.2131192,0.4689887,0.11938,4.624364E+13,3.148787
0.6,3.95182,0.2295289,0.5983801,0.1384177,5.000356E+13,3.731333
0.7,4.702074,0.2078789,0.7325037,0.1502217,4.476915E+13,4.427686
0.8000001,5.547695,0.1833507,1.451014,0.1760805,4.63724E+13,5.194025
0.9000001,6.074203,0.216608,1.073259,0.2013062,3.256274E+13,5.667072
1,6.572358,0.2382201,0.9520596,0.2238827,2.689021E+13,6.09478
