cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 20.04099,Extrapolation: Pe: -1.5 - -0.75; 2.75 - 6
idle,0.1315207,0.05243922,2.91552,0.0005244911,3.091798E+12,0.1236299
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,0.8052107,0.4118473,66.28366,0.2317455,4.622239E+13,0.756898
-0.25,0.4593027,0.2253195,21.02011,0.06837384,2.423631E+13,0.4317445
0,0.8406933,0.2312636,29.56908,0.09999385,2.797534E+13,0.7902514
0.25,1.743025,0.3052337,33.58438,0.1053707,5.081987E+13,1.638444
0.5,2.771432,0.4135394,34.63964,0.1231019,6.131839E+13,2.605145
0.75,3.156602,0.8137996,74.75787,0.2687832,9.657772E+13,2.967205
1,3.405816,1.444649,138.9711,0.4700353,1.792941E+14,3.201467
1.25,4.267663,1.963111,206.9398,0.6745391,3.562513E+14,4.011601
1.5,4.500999,3.104714,402.0842,0.9861644,5.840416E+14,4.23094
1.75,5.967307,4.866215,828.6534,1.80898,8.96876E+14,5.609269
2,6.967587,7.057674,1713.598,3.997031,1.230766E+15,6.549533
2.25,6.02554,9.746972,2262.161,4.293614,1.566365E+15,5.664007
2.5,6.279401,12.509,2988.7,6.535611,1.632139E+15,5.902637
2.75,6.907341,13.7599,3287.571,7.189172,1.795353E+15,6.4929
3,7.535282,15.0108,3586.441,7.842733,1.958567E+15,7.083164
3.25,8.163221,16.2617,3885.311,8.496294,2.121781E+15,7.673428
3.5,8.791162,17.5126,4184.181,9.149855,2.284995E+15,8.263692
3.75,9.419102,18.7635,4483.051,9.803415,2.448208E+15,8.853955
4,10.04704,20.0144,4781.921,10.45698,2.611422E+15,9.444219
4.25,10.67498,21.2653,5080.791,11.11054,2.774636E+15,10.03448
4.5,11.30292,22.5162,5379.661,11.7641,2.93785E+15,10.62475
4.75,11.93086,23.7671,5678.531,12.41766,3.101064E+15,11.21501
5,12.5588,25.018,5977.401,13.07122,3.264278E+15,11.80527
5.25,13.18674,26.2689,6276.271,13.72478,3.427492E+15,12.39554
5.5,13.81468,27.5198,6575.142,14.37834,3.590705E+15,12.9858
5.75,14.44262,28.7707,6874.012,15.0319,3.753919E+15,13.57606
6,15.07056,30.0216,7172.882,15.68546,3.917133E+15,14.16633
