cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 234.4348,Extrapolation: Pe: -0.2
idle,0.3978144,0.0542271,0.1107431,0.02411088,3.458051E+12,0.364693
-0.2,0,0,0,0,0,0
-0.1,0.1467044,0.05923,0.0350997,0.04413715,6.148497E+12,0.09518696
0,0.4599927,0.1032603,0.2173924,0.0561519,1.169428E+13,0.4353081
0.1,1.512554,0.2254453,0.6192595,0.1028972,2.630315E+13,1.460727
0.2,2.153639,0.2267886,0.6073903,0.1099566,3.447056E+13,2.077671
0.3,2.943912,0.227268,0.6430206,0.1267246,4.118571E+13,2.813589
0.4,4.031983,0.1601265,0.5081145,0.11985,3.680879E+13,3.840086
0.5,4.995144,0.1757087,0.599185,0.1405596,4.256779E+13,4.774152
0.6,6.153485,0.1577932,0.7273373,0.1656899,4.488633E+13,5.878663
0.7,7.292046,0.144108,0.7041879,0.166934,3.966133E+13,6.935332
0.8000001,8.189396,0.1479172,0.8754752,0.2055605,4.347012E+13,7.769763
0.9000001,9.161652,0.159575,0.9334173,0.2299309,2.545749E+13,8.658034
1,9.697128,0.1696943,1.242573,0.2744242,2.619501E+13,9.301558
