cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 156.3356,Extrapolation: Pe: -0.2,,,,,
idle,0.218371725,0.002638541,0.06871652,0.000920391,1.03306E+12,0.198361825
-0.2,0,0,0,0,0,0
-0.1,0.008639669,0.000540103,0.001395879,0.000279461,8.39854E+11,0.007271255
0,0.1530828,0.002341625,0.057317445,0.001085038,1.66373E+12,0.1391311
0.1,0.6334367,0.00784806,0.219940225,0.006008156,7.43187E+12,0.5761339
0.2,1.01718115,0.009384447,0.479192175,0.010838457,1.00624E+13,0.923811225
0.3,1.35276625,0.009721996,0.635759925,0.013870055,1.19482E+13,1.23252055
0.4,1.8215535,0.011361578,1.222955275,0.01823062,1.48054E+13,1.65544175
0.5,2.2035095,0.013751005,1.460669525,0.022896023,1.7871E+13,2.001867
0.6,2.4354135,0.015957091,0.888708725,0.021296005,1.94558E+13,2.22006725
0.7,2.52209,0.017245315,0.63926975,0.017659313,2.08263E+13,2.30085075
0.8000001,2.94999675,0.017339113,0.54243565,0.016035495,1.99451E+13,2.694173
0.9000001,3.5970425,0.017784855,0.455677075,0.015926338,2.06148E+13,3.29775025
1,3.79720225,0.019207745,0.31933645,0.013025415,1.72855E+13,3.4885075
