cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 20.38968,Extrapolation: Pe: -1.5 - -1.25; 3.25 - 6
idle,3.632662,0.01223322,0.1798423,0.0216074,2.410132E+11,2.361209
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,1.282758,0.007260766,0.07848929,0.01111441,1.13254E+11,0.8337924
-0.75,2.363551,0.01500114,0.3002703,0.02320362,2.774992E+11,1.536308
-0.5,9.412188,0.03860629,0.6377882,0.08327904,9.479332E+11,6.117921
-0.25,15.9363,0.04930066,0.7151788,0.1162769,1.502853E+12,10.35859
0,23.8676,0.05307561,0.7090364,0.1300411,1.87801E+12,15.51394
0.25,46.29058,0.06968597,0.9017064,0.1592052,3.190442E+12,30.08887
0.5,57.58419,0.07438792,1.011614,0.1460726,3.345329E+12,37.4297
0.75,85.20889,0.08392181,1.303992,0.1826668,3.36013E+12,55.3858
1,112.6724,0.09426292,1.20494,0.2040471,3.374766E+12,73.23706
1.25,135.7118,0.1071838,1.263893,0.2401254,3.698814E+12,88.21268
1.5,164.5777,0.1173691,1.893533,0.273303,4.856353E+12,106.9755
1.75,194.2436,0.1278174,1.665637,0.3175711,6.252984E+12,126.2584
2,213.8872,0.1195696,1.953689,0.2573768,6.38815E+12,139.0267
2.25,236.1183,0.1238722,1.528418,0.2872451,8.956343E+12,153.4769
2.5,275.3522,0.1447455,1.632274,0.377781,1.036765E+13,178.9789
2.75,286.9388,0.1474219,1.679705,0.4088263,1.213899E+13,186.5102
3,296.1476,0.1548771,1.773522,0.4392849,1.180181E+13,192.4959
3.25,320.8265,0.1677835,1.921315,0.475892,1.278529E+13,208.5372
3.5,345.5055,0.1806899,2.069109,0.512499,1.376878E+13,224.5785
3.75,370.1844,0.1935963,2.216902,0.5491061,1.475226E+13,240.6199
4,394.8634,0.2065027,2.364696,0.5857132,1.573575E+13,256.6612
4.25,419.5423,0.2194092,2.512489,0.6223203,1.671923E+13,272.7025
4.5,444.2213,0.2323156,2.660283,0.6589274,1.770272E+13,288.7438
4.75,468.9002,0.245222,2.808076,0.6955345,1.86862E+13,304.7852
5,493.5792,0.2581284,2.95587,0.7321416,1.966969E+13,320.8265
5.25,518.2582,0.2710348,3.103663,0.7687486,2.065317E+13,336.8678
5.5,542.9371,0.2839413,3.251457,0.8053557,2.163665E+13,352.9091
5.75,567.6161,0.2968477,3.399251,0.8419628,2.262014E+13,368.9504
6,592.295,0.3097541,3.547044,0.8785699,2.360362E+13,384.9918
