cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 33.3673,
idle,9.568819
-0.2,17.13631
-0.1,16.99623
0,29.69767
0.1,46.52613
0.2,65.62006
0.3,83.11637
0.4,105.3801
0.5,122.3166
0.6,142.4984
0.7,167.1307
0.8000001,194.0499
0.9000001,209.3695
1,209.3585
