cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 19.37728,Extrapolation: Pe: 0.9000001 - 1
idle,7.767125
-0.2,2.203284
-0.1,8.195648
0,17.97169
0.1,39.63934
0.2,64.32824
0.3,93.3951
0.4,125.9578
0.5,150.1931
0.6,177.5416
0.7,198.9093
0.8000001,231.5259
0.9000001,260.4666
1,289.4073
