cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 156.1864,Extrapolation: Pe: -0.2
idle,0.8164305,0.03649193,0.07839839,0.008461753,5.320244E+12,0.7479232
-0.2,0,0,0,0,0,0
-0.1,0.1874008,0.02230819,0.1070894,0.01921323,9.107388E+12,0.1617116
0,0.4755877,0.04478421,0.1696457,0.02134925,1.134043E+13,0.423865
0.1,0.9514439,0.08752648,0.340901,0.02770372,3.50776E+13,0.8597833
0.2,1.356758,0.07080054,0.9859219,0.04079934,4.895335E+13,1.262015
0.3,1.794952,0.07881208,0.5776138,0.04503384,5.542388E+13,1.695807
0.4,2.416739,0.06636141,0.7612587,0.04590907,5.920051E+13,2.318674
0.5,2.932029,0.07241219,1.03563,0.05151751,7.272354E+13,2.84584
0.6,3.040838,0.0786662,0.8888141,0.04919384,7.083599E+13,2.979539
0.7,3.304478,0.08725452,0.8216891,0.0513923,6.570451E+13,3.258984
0.8000001,3.84006,0.09038639,0.8406175,0.05296173,6.70337E+13,3.784359
0.9000001,4.445765,0.0926638,0.8336515,0.05260262,4.447073E+13,4.386782
1,4.578565,0.1119777,0.7566081,0.0648272,3.299139E+13,4.536995
