cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 232.5962,Extrapolation: Pe: -0.2,,,,,
idle,0.21015565,0.002797178,0.067976415,0.000902018,1.02986E+12,0.19032785
-0.2,0,0,0,0,0,0
-0.1,0.008589405,0.000540407,0.001181721,0.000274288,8.30584E+11,0.007220403
0,0.1168454,0.002665715,0.056554853,0.001267557,2.19639E+12,0.105463075
0.1,0.49882295,0.008457693,0.21879135,0.006595942,8.63487E+12,0.4504407
0.2,0.663325275,0.010221456,0.26408265,0.010001912,1.28235E+13,0.598826725
0.3,0.820036575,0.010167174,0.295208475,0.01164777,1.38919E+13,0.74245255
0.4,1.08508575,0.012020523,0.436267325,0.015238163,1.75749E+13,0.983887525
0.5,1.4223545,0.013872685,0.609627475,0.017904108,1.96737E+13,1.29010225
0.6,1.4572355,0.015216134,0.696755975,0.01819536,1.83056E+13,1.3162555
0.7,1.568118,0.017175988,0.597945525,0.016495085,2.01306E+13,1.41639075
0.8000001,1.594515,0.01766838,0.491338425,0.016875325,2.2196E+13,1.44205825
0.9000001,1.80353375,0.01803985,0.43380665,0.015688823,2.04783E+13,1.63141025
1,1.94394175,0.01843055,0.47553105,0.016542533,2.11908E+13,1.7629195
