cp_norm(rated),FC
[-],[g/h/kWrated]
Pdrive (Engine)= 338.3504,Extrapolation: Pe: -0.2
idle,11.51883
-0.2,0
-0.1,3.588122
0,8.916699
0.1,33.13255
0.2,49.97732
0.3,66.65315
0.4,84.66663
0.5,103.4239
0.6,122.0955
0.7,142.1486
0.8000001,159.3868
0.9000001,178.1344
1,194.2428
