cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 20.74882,Extrapolation: Pe: -1.5 - -0.75; 2.5 - 6
idle,5.337419,1.096901,3.496313,0.4966734,1.495973E+15,4.910421
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,17.15989,8.522961,19.83825,8.325569,5.59658E+15,15.7871
-0.25,9.389254,5.265438,12.88356,5.933649,5.3068E+15,8.638113
0,20.85417,6.287821,17.89659,7.257178,5.952032E+15,19.18584
0.25,43.4374,7.911394,25.00875,10.01356,7.845018E+15,39.96241
0.5,67.08167,7.372733,23.60175,11.35934,8.798687E+15,61.71513
0.75,101.4736,6.988307,19.48339,14.08831,9.806943E+15,93.35567
1,141.8995,7.853325,24.13745,16.49557,1.012324E+16,130.5475
1.25,191.4839,8.805375,31.26664,17.13557,1.063507E+16,176.1651
1.5,240.0733,8.927736,34.67834,18.55243,1.160527E+16,220.8674
1.75,286.5304,8.858378,39.80863,20.85827,1.225229E+16,263.608
2,333.7796,9.120432,51.28614,25.34993,1.246029E+16,307.0772
2.25,362.3203,9.841546,58.27308,26.95108,1.357617E+16,333.3347
2.5,402.5782,10.93505,64.74786,29.94564,1.508463E+16,370.3719
2.75,442.836,12.02856,71.22265,32.94021,1.659309E+16,407.4091
3,483.0938,13.12206,77.69743,35.93477,1.810155E+16,444.4463
3.25,523.3516,14.21557,84.17222,38.92934,1.961002E+16,481.4835
3.5,563.6094,15.30907,90.647,41.9239,2.111848E+16,518.5207
3.75,603.8672,16.40258,97.12179,44.91846,2.262694E+16,555.5579
4,644.1251,17.49608,103.5966,47.91303,2.413541E+16,592.595
4.25,684.3829,18.58959,110.0714,50.90759,2.564387E+16,629.6322
4.5,724.6407,19.68309,116.5461,53.90216,2.715233E+16,666.6694
4.75,764.8985,20.7766,123.0209,56.89672,2.86608E+16,703.7065
5,805.1563,21.87011,129.4957,59.89128,3.016926E+16,740.7437
5.25,845.4141,22.96361,135.9705,62.88585,3.167772E+16,777.7809
5.5,885.6719,24.05712,142.4453,65.88042,3.318619E+16,814.8181
5.75,925.9297,25.15062,148.9201,68.87498,3.469465E+16,851.8552
6,966.1876,26.24413,155.3949,71.86955,3.620311E+16,888.8924
