cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 21.7612,
idle,8.889126139
-0.2,15.91912597
-0.1,15.86257954
0,27.7549901
0.1,43.17616932
0.2,61.3207834
0.3,77.95141714
0.4,97.39298547
0.5,111.5572769
0.6,131.8367023
0.7,157.3037775
0.8000001,179.7530921
0.9000001,191.9839173
1,196.9936693
