cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 22.80456,Extrapolation: Pe: -1.5 - -1.25; 3.5 - 6
idle,3.449799,0.08939247,0.01843365,0.02299718,3.07E+12,1.928832
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,4.055391,0.2239962,0.5015871,0.06294007,1.67E+13,1.887542
-0.75,4.991389,0.252634,0.5466447,0.05555818,1.35E+13,2.492225
-0.5,7.480164,0.3054864,0.8381759,0.06961343,2.17E+13,3.800576
-0.25,10.95997,0.3639044,0.6229105,0.08235023,3.23E+13,6.007782
0,13.89603,0.3693873,0.4013177,0.08476536,3.71E+13,8.155549
0.25,23.68004,0.4313273,0.5067223,0.1103253,5.79E+13,14.85237
0.5,35.91792,0.4470591,1.239431,0.1365694,7.44E+13,23.0226
0.75,52.53159,0.4493324,2.767321,0.1610927,8.70E+13,34.41166
1,76.91696,0.52711,3.484636,0.177119,9.24E+13,51.04342
1.25,99.03011,0.4829758,4.254386,0.18245,9.38E+13,67.74696
1.5,140.1841,0.5388417,4.910798,0.1900884,8.95E+13,97.17454
1.75,176.3144,0.6231688,5.56721,0.199746,9.62E+13,127.6936
2,208.8416,0.6678148,6.223622,0.202871,9.69E+13,150.3882
2.25,260.8027,0.65569835,6.223622,0.2510121,1.34E+14,196.8786
2.5,261.2537,0.6435819,6.223622,0.3112115,1.22E+14,193.7373
2.75,306.9083,0.61640385,6.223622,0.3268888,1.70E+14,227.5672
3,347.5992,0.5892258,6.223622,0.3268888,1.55E+14,258.8405
3.25,392.8651,0.6045698,6.223622,0.4119971,2.06E+14,292.246
3.5,423.0855,0.6510752,6.223622,0.4436891,2.22E+14,314.7265
3.75,453.3059,0.6975806,6.223622,0.4753812,2.38E+14,337.2069
4,483.5263,0.744086,6.223622,0.5070733,2.54E+14,359.6874
4.25,513.7467,0.7905914,6.223622,0.5387654,2.70E+14,382.1679
4.5,543.9671,0.8370968,6.223622,0.5704575,2.86E+14,404.6483
4.75,574.1875,0.8836021,6.223622,0.6021495,3.02E+14,427.1288
5,604.4079,0.9301075,6.223622,0.6338416,3.17E+14,449.6093
5.25,634.6283,0.9766129,6.223622,0.6655337,3.33E+14,472.0898
5.5,664.8487,1.023118,6.223622,0.6972258,3.49E+14,494.5702
5.75,695.0691,1.069624,6.223622,0.7289179,3.65E+14,517.0507
6,725.2895,1.116129,6.223622,0.76061,3.81E+14,539.5311
