cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 27.47238,
idle,5.104623
-0.2,14.06464
-0.1,11.27932
0,23.66615
0.1,38.4673
0.2,55.05869
0.3,74.01733
0.4,89.45098
0.5,112.7896
0.6,124.673
0.7,135.2547
0.8000001,152.3681
0.9000001,168.6441
1,181.9716
