cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 337.6702,Extrapolation: Pe: -0.2,,,,,
idle,0.142911275,0.002797238,0.067977185,0.000902083,1.03001E+12,0.127795625
-0.2,0,0,0,0,0,0
-0.1,0.009764785,0.000629221,0.003219003,0.000389749,9.06218E+11,0.008245779
0,0.056538615,0.001637831,0.03677307,0.000813563,1.35839E+12,0.050350653
0.1,0.36379875,0.008169126,0.2364274,0.006791155,8.26152E+12,0.323892025
0.2,0.5140997,0.009831736,0.301406475,0.010176256,1.20099E+13,0.458542975
0.3,0.667582075,0.010240374,0.40533495,0.01285388,1.42379E+13,0.597477625
0.4,0.855663725,0.011359761,0.60586795,0.015919213,1.69103E+13,0.7662353
0.5,1.1039056,0.013973216,0.732099475,0.01892705,2.0449E+13,0.990202625
0.6,1.35109225,0.01636402,0.794656425,0.020210945,2.14669E+13,1.21329125
0.7,1.36810975,0.017923028,0.65116485,0.017412318,2.12164E+13,1.22672
0.8000001,1.39741375,0.017470178,0.52790985,0.01634463,2.09382E+13,1.25204
0.9000001,1.46118325,0.018437393,0.4324076,0.015994765,2.15122E+13,1.3130625
1,1.82558975,0.020134495,0.3434133,0.013826503,1.99513E+13,1.65492375
