cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 241.4468,Extrapolation: Pe: -0.2
idle,0.7210357,0.05237294,0.1469231,0.01146441,4.623877E+12,0.675882
-0.2,0,0,0,0,0,0
-0.1,0.1424011,0.03005107,0.00955352,0.01164537,1.090854E+13,0.1028935
0,0.5039729,0.05698972,0.09434456,0.01233905,1.58053E+13,0.4517853
0.1,1.16418,0.09499466,0.2308536,0.02096009,2.436979E+13,1.076912
0.2,1.739928,0.1035792,0.2651202,0.03515018,3.711582E+13,1.614349
0.3,2.3115,0.1195047,0.3809945,0.05517818,5.31335E+13,2.165237
0.4,2.983621,0.1083621,0.3497959,0.05594798,4.462113E+13,2.777856
0.5,3.57539,0.1123767,0.4693665,0.06439076,4.684775E+13,3.366305
0.6,4.062291,0.1248474,0.5205932,0.07179245,5.162645E+13,3.822995
0.7,4.730446,0.1085538,0.6528599,0.07423927,4.417185E+13,4.471242
0.8000001,5.230656,0.1259638,0.5995213,0.075794,4.949928E+13,4.921418
0.9000001,5.831763,0.1302145,0.6152329,0.07855763,2.895842E+13,5.431411
1,6.182234,0.1488029,0.6106156,0.08577612,2.667724E+13,5.729689
