cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 115.7644,Extrapolation: Pe: -0.2; 0.9000001 - 1,,,,,
idle,0.2454719,0.002842509,0.068333098,0.000912017,1.0409E+12,0.2230565
-0.2,0,0,0,0,0,0
-0.1,0.007866659,0.000471995,0.000978949,0.000243499,8.06423E+11,0.006607016
0,0.11996045,0.002300373,0.0489103,0.001081685,1.8662E+12,0.10867615
0.1,0.565931,0.008366105,0.2163236,0.006497193,8.44591E+12,0.512932125
0.2,0.794707025,0.009955812,0.273646925,0.009899063,1.20463E+13,0.7204844
0.3,0.873959775,0.010441761,0.304283075,0.012219813,1.4686E+13,0.792221875
0.4,1.07423775,0.012551169,0.418535575,0.01594383,1.87176E+13,0.974924725
0.5,1.29994275,0.013876035,0.591454125,0.018102943,1.97567E+13,1.17724
0.6,1.420906,0.015451639,0.709196025,0.01856176,1.84567E+13,1.2821995
0.7,1.27207275,0.016829135,0.48489115,0.016407465,2.1418E+13,1.14698525
0.8000001,1.53472675,0.01789094,0.5101986,0.017009958,2.23513E+13,1.38746975
0.9000001,1.72656725,0.02012731,0.573973375,0.019136205,2.51452E+13,1.56090375
1,1.9184085,0.022363678,0.63774825,0.02126245,2.79391E+13,1.7343375
