cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 25.87967,Extrapolation: Pe: -1.5 - -0.75; 2.75 - 6
idle,1.82759,1.538317,11.80126,0.006008848,3.484956E+12,1.717953
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,28.56246,1.056364,30.4127,0.5754075,6.307373E+13,26.84871
-0.25,7.962343,0.8120936,27.19132,0.1490784,2.599412E+13,7.484601
0,18.04134,1.775682,43.58503,0.2051077,2.808924E+13,16.95886
0.25,25.0801,4.739258,105.6684,0.2331692,5.255255E+13,23.57528
0.5,48.71088,7.929822,165.2797,0.3695144,6.931686E+13,45.78822
0.75,76.89137,14.37948,283.8739,0.7635272,1.138724E+14,72.27785
1,98.97096,25.69628,668.4328,1.442523,2.128241E+14,93.03271
1.25,93.48781,43.37971,1319.661,2.135834,4.334473E+14,87.8785
1.5,112.046,66.08705,2541.601,3.264118,7.139134E+14,105.3233
1.75,153.9409,121.5179,6237.491,6.856399,1.093321E+15,144.7045
2,117.8422,177.1409,10679.3,10.98483,1.501572E+15,110.7716
2.25,94.37481,229.9891,15763.65,12.35449,1.807251E+15,88.71231
2.5,115.7127,207.1257,15425.73,16.38575,1.778619E+15,108.77
2.75,127.284,227.8383,16968.3,18.02432,1.956481E+15,119.647
3,138.8553,248.5509,18510.87,19.6629,2.134342E+15,130.524
3.25,150.4265,269.2635,20053.44,21.30147,2.312204E+15,141.401
3.5,161.9978,289.976,21596.02,22.94005,2.490066E+15,152.278
3.75,173.5691,310.6886,23138.59,24.57862,2.667928E+15,163.155
4,185.1404,331.4012,24681.16,26.2172,2.84579E+15,174.032
4.25,196.7116,352.1138,26223.73,27.85577,3.023652E+15,184.909
4.5,208.2829,372.8264,27766.3,29.49435,3.201513E+15,195.7859
4.75,219.8542,393.539,29308.88,31.13292,3.379375E+15,206.6629
5,231.4255,414.2516,30851.45,32.7715,3.557237E+15,217.5399
5.25,242.9967,434.9641,32394.02,34.41007,3.735099E+15,228.4169
5.5,254.568,455.6767,33936.59,36.04865,3.912961E+15,239.2939
5.75,266.1393,476.3893,35479.17,37.68723,4.090823E+15,250.1709
6,277.7105,497.1019,37021.74,39.3258,4.268685E+15,261.0479
