cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 18.62961,Extrapolation: Pe: 1
idle,15.31249
-0.2,15.95343
-0.1,17.78217
0,31.30423
0.1,47.30445
0.2,63.99683
0.3,83.26082
0.4,105.017
0.5,135.6872
0.6,167.0341
0.7,206.2743
0.8000001,239.4723
0.9000001,263.6457
1,292.9397
