cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 337.7572,Extrapolation: Pe: -0.2,,,,,
idle,0.134509125,0.001445173,0.083470178,0.000981657,1.40242E+12,0.1193851
-0.2,0,0,0,0,0,0
-0.1,0.000906481,0.000842663,0.003334316,0.000798662,1.74879E+12,0.000800815
0,0.06147357,0.001231507,0.04341705,0.001147543,1.89137E+12,0.05424866
0.1,0.43398425,0.005230506,0.249557575,0.006566523,8.44007E+12,0.380989475
0.2,0.6740699,0.006656032,0.328826,0.010130309,1.17392E+13,0.591822175
0.3,0.92104495,0.007495514,0.439748525,0.013063585,1.38205E+13,0.809111825
0.4,1.21164625,0.009705492,0.653934875,0.016259168,1.56716E+13,1.0669876
0.5,1.55374675,0.012451439,0.80724715,0.019188598,1.73899E+13,1.37085775
0.6,1.90225325,0.014703968,0.841663175,0.019958533,1.83099E+13,1.683238
0.7,2.109643,0.015262228,0.76037395,0.018164128,1.86011E+13,1.85701175
0.8000001,2.15191175,0.016246408,0.6306457,0.016321355,1.81495E+13,1.8890035
0.9000001,2.55524275,0.016823603,0.548004125,0.013853343,1.38795E+13,2.26567525
1,2.95021475,0.016410843,0.44555575,0.011978033,1.0759E+13,2.62595925
