cp_norm(rated),FC
[-],[g/h/kWrated]
Pdrive (Engine)= 156.5131,Extrapolation: Pe: -0.2
idle,1.0190106
-0.2,0
-0.1,0.003333122
0,0.9648934
0.1,16.84726
0.2,34.65414
0.3,56.63095
0.4,78.23778
0.5,99.5364
0.6,122.3063
0.7,141.2774
0.8000001,164.0061
0.9000001,182.7952
1,197.5159
