cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 117.1697,Extrapolation: Pe: -0.2
idle,0.4852513,0.1135146,0.2096404,0.03802003,3.470055E+12,0.4483964
-0.2,0,0,0,0,0,0
-0.1,0.1361455,0.08436557,0.06378161,0.02744221,5.950708E+12,0.09151492
0,0.4628695,0.2336349,0.3891458,0.06431099,1.031105E+13,0.4293442
0.1,1.917094,0.4225831,0.8855545,0.1309431,2.555583E+13,1.823069
0.2,2.745089,0.4315151,0.9274435,0.1403141,3.392322E+13,2.617404
0.3,3.760969,0.4262879,0.9419321,0.14235,3.862487E+13,3.558248
0.4,4.858062,0.3431298,0.8331456,0.1321957,3.667602E+13,4.574817
0.5,5.850118,0.3818347,0.9554487,0.1562002,4.241863E+13,5.497323
0.6,7.039649,0.3186405,1.216527,0.185948,4.349662E+13,6.635227
0.7,8.101179,0.2747616,1.462363,0.2071491,3.843374E+13,7.628611
0.8000001,9.119554,0.3072259,1.72124,0.2485726,4.199856E+13,8.56174
0.9000001,9.680109,0.2541051,2.858297,0.378585,2.569952E+13,9.309233
1,10.78482,0.2961679,2.788473,0.3923454,2.277133E+13,10.14563
