cp_norm(rated),FC
[-],[g/h/kWrated]
Pdrive (Engine)= 241.6984,Extrapolation: Pe: -0.2
idle,10.9153075
-0.2,0
-0.1,1.5305085
0,8.5251605
0.1,27.97185
0.2,46.8172525
0.3,68.2325575
0.4,87.2900925
0.5,104.089875
0.6,123.394875
0.7,143.36705
0.8000001,163.510575
0.9000001,186.410475
1,198.2555
