cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 19.89288,
idle,9.568808
-0.2,17.26429
-0.1,16.78222
0,29.53487
0.1,46.65319
0.2,65.48571
0.3,83.52171
0.4,105.7756
0.5,122.8138
0.6,141.9147
0.7,167.737
0.8000001,194.0914
0.9000001,208.9946
1,211.3601
