cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 157.491,Extrapolation: Pe: -0.2
idle,0.8205251,0.09731399,0.191425,0.03999653,3.579955E+12,0.750329
-0.2,0,0,0,0,0,0
-0.1,0.1244566,0.05882854,0.1147013,0.05238685,6.486981E+12,0.114457
0,0.5270013,0.1003004,0.2190181,0.05469064,7.729635E+12,0.4813771
0.1,1.489985,0.2128467,0.6290608,0.1046446,2.473411E+13,1.417558
0.2,2.121104,0.2164914,0.774684,0.1254894,3.366279E+13,2.027126
0.3,2.600875,0.159579,2.032514,0.2125554,4.173839E+13,2.541253
0.4,3.942114,0.1344422,0.8766789,0.1645959,4.007684E+13,3.835398
0.5,4.795659,0.111333,1.347098,0.2400902,5.233191E+13,4.765596
0.6,6.042049,0.1358924,1.108441,0.2090233,4.799476E+13,5.9099
0.7,7.018799,0.1267717,1.29084,0.2369023,4.818436E+13,6.8382
0.8000001,7.979771,0.1483097,1.065444,0.2224305,4.720232E+13,7.701018
0.9000001,8.918463,0.1549902,1.056199,0.2333594,2.996658E+13,8.569721
1,9.811646,0.1772512,1.081952,0.251437,2.772976E+13,9.379582
