cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 232.8616,Extrapolation: Pe: -0.2
idle,0.3797721,0.02045459,0.04095332,0.004758757,5.132938E+12,0.347784
-0.2,0,0,0,0,0,0
-0.1,0.1498058,0.02223474,0.03871007,0.01724343,8.577841E+12,0.1555044
0,0.4014713,0.05173105,0.2147179,0.02631324,1.587939E+13,0.3544728
0.1,0.9617515,0.09222887,0.3374809,0.02326209,3.728484E+13,0.8635786
0.2,1.22664,0.08615405,0.3472533,0.03192962,5.004221E+13,1.129643
0.3,1.591337,0.09054265,0.4065851,0.04047532,5.907515E+13,1.490337
0.4,1.983672,0.08034208,0.4102342,0.03727884,5.574077E+13,1.8812
0.5,2.380152,0.086284,0.5348099,0.04183961,6.326265E+13,2.285301
0.6,2.970499,0.0841717,0.5906432,0.04191561,6.495773E+13,2.852812
0.7,3.373576,0.08929882,0.5914198,0.04392862,5.964549E+13,3.258752
0.8000001,3.677482,0.1015667,0.6467304,0.05325311,6.305031E+13,3.556772
0.9000001,4.454027,0.09222783,0.945659,0.06364951,3.787722E+13,4.370257
1,4.662051,0.106831,0.7387648,0.06163525,3.111816E+13,4.551354
