cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 242.3542,Extrapolation: Pe: -0.2
idle,0.03319721,0.004093021,0.02187041,0.0006134762,1.021436E+10,0.02108861
-0.2,0,0,0,0,0,0
-0.1,0.0003515584,0.000600569,7.005861E-05,5.764682E-07,1.848902E+07,0.0002230459
0,0.02872282,0.003455804,0.009393379,0.0003727643,5.561955E+09,0.01823825
0.1,0.06803789,0.006537799,0.02512555,0.0007684123,1.023758E+10,0.04318812
0.2,0.05646901,0.00799935,0.03938203,0.0009154389,1.108893E+10,0.03584839
0.3,0.06059053,0.00856909,0.04756127,0.001191336,1.522825E+10,0.03847492
0.4,0.0691544,0.009162152,0.03002091,0.001523539,2.025418E+10,0.04391805
0.5,0.08419854,0.009162819,0.02342749,0.001518704,1.964183E+10,0.05347336
0.6,0.09567115,0.009833971,0.02342625,0.001463672,1.837079E+10,0.06076321
0.7,0.09877861,0.01063887,0.02568031,0.001399138,1.77472E+10,0.06272993
0.8000001,0.0874393,0.01051575,0.02606844,0.001494529,1.781614E+10,0.05552412
0.9000001,0.08820944,0.01036993,0.02824277,0.001548675,1.892444E+10,0.05601573
1,0.08769153,0.01035364,0.03508207,0.001508643,2.088766E+10,0.05568881
