cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 21.7612,
idle,9.164167355
-0.2,16.41147103
-0.1,16.35317813
0,28.61340527
0.1,44.51151792
0.2,63.21732306
0.3,80.36229989
0.4,100.4050793
0.5,115.0074733
0.6,135.9141395
0.7,162.1687958
0.8000001,185.3125159
0.9000001,197.921525
1,203.0862292
