cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 337.5092,Extrapolation: Pe: -0.2
idle,0.005252258,0.002365699,0.00297847,0.0003924503,6.628064E+09,0.003335364
-0.2,0,0,0,0,0,0
-0.1,5.767602E-05,0.0001785991,7.710575E-05,2.502391E-07,3415806,3.657815E-05
0,0.003412436,0.001122777,0.002664055,0.000140782,2.391914E+09,0.002167121
0.1,0.03102045,0.006173756,0.03334688,0.0007269905,1.000901E+10,0.01969255
0.2,0.0465083,0.007119648,0.04275567,0.0008665172,1.035129E+10,0.02952527
0.3,0.05691909,0.007101119,0.05244366,0.001020441,1.21861E+10,0.03614783
0.4,0.0666532,0.007449381,0.03409472,0.001169134,1.39071E+10,0.04232417
0.5,0.07334524,0.008588597,0.0235933,0.001391391,1.662315E+10,0.04657758
0.6,0.08001266,0.009828053,0.02033892,0.001428417,1.596483E+10,0.0508226
0.7,0.09058654,0.01168121,0.02020027,0.00143783,1.520757E+10,0.05753495
0.8000001,0.09427001,0.01119074,0.02057829,0.001530308,1.540085E+10,0.05986631
0.9000001,0.09589151,0.01050582,0.02849415,0.001573146,1.933017E+10,0.06089814
1,0.08392002,0.01054331,0.03584536,0.001526062,2.125807E+10,0.05329431
