cp_norm(rated),FC
[-],[g/h/kWrated]
Pdrive (Engine)= 156.941,Extrapolation: Pe: -0.2
idle,19.78502
-0.2,0
-0.1,3.907083
0,12.57939
0.1,35.67955
0.2,50.41963
0.3,66.74004
0.4,87.30165
0.5,105.7338
0.6,127.4417
0.7,147.9187
0.8000001,163.9484
0.9000001,181.8902
1,200.8941
