cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 240.9872,Extrapolation: Pe: -0.2
idle,0.9023031,0.1097954,0.248918,0.04697162,4.621634E+12,0.8452164
-0.2,0,0,0,0,0,0
-0.1,0.1435238,0.07399763,0.06044339,0.05370151,1.095107E+13,0.1015919
0,0.5593437,0.1275891,0.2720726,0.07055911,2.102325E+13,0.5040102
0.1,1.589313,0.244024,0.6293947,0.108287,2.865857E+13,1.472164
0.2,2.215836,0.2425877,0.5998462,0.1145373,3.69242E+13,2.058406
0.3,3.04473,0.2707288,0.7147199,0.1463371,5.131114E+13,2.841171
0.4,4.119549,0.229235,0.5824909,0.142099,4.973711E+13,3.838576
0.5,5.223542,0.1951069,0.4844678,0.1387475,4.667732E+13,4.875927
0.6,6.351091,0.1806093,0.598092,0.1642978,4.955284E+13,5.959956
0.7,7.460853,0.1601256,0.6019155,0.1712123,4.454726E+13,6.996572
0.8000001,8.348783,0.1479619,0.8824667,0.2231286,4.736512E+13,7.811741
0.9000001,9.350595,0.1639946,0.8559749,0.2375168,3.196196E+13,8.714531
1,10.09159,0.1798722,0.881619,0.2522775,2.638658E+13,9.365712
