cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 18.68047,Extrapolation: Pe: 0.9000001 - 1
idle,1.926899
-0.2,6.164524
-0.1,12.29507
0,18.37432
0.1,33.15982
0.2,53.93705
0.3,77.34969
0.4,98.73148
0.5,116.8307
0.6,141.0168
0.7,157.5961
0.8000001,174.3237
0.9000001,196.1142
1,217.9046
