cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 156.941,Extrapolation: Pe: -0.2
idle,0.6468745,0.06892786,0.1355042,0.02143134,3.577645E+12,0.5891065
-0.2,0,0,0,0,0,0
-0.1,0.1152014,0.03673734,0.07654109,0.0364011,6.409802E+12,0.1053478
0,0.4710647,0.08280414,0.1632413,0.06489606,7.433141E+12,0.4296259
0.1,1.065489,0.1579494,0.449039,0.07443997,2.377992E+13,1.021903
0.2,1.534407,0.156724,0.5645307,0.08263461,3.157267E+13,1.481153
0.3,1.975385,0.1267056,1.258889,0.1138455,4.068075E+13,1.960593
0.4,2.872496,0.1394212,0.6140918,0.1078043,4.011315E+13,2.838937
0.5,3.377712,0.148192,0.8543348,0.1411175,5.160614E+13,3.438625
0.6,4.036712,0.1673207,1.023679,0.1484478,4.796535E+13,4.053301
0.7,4.683216,0.1753428,1.256053,0.161799,4.807409E+13,4.646582
0.8000001,5.135714,0.1965278,1.416763,0.1751339,4.783422E+13,5.044057
0.9000001,5.890342,0.1896522,1.440244,0.1943398,2.896137E+13,5.724591
1,6.378135,0.2250869,1.183951,0.215991,2.161236E+13,6.174022
