cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 27.36488,Extrapolation: Pe: -1.5 - -1; 2.75 - 6
idle,3.063967,0.01097855,0.02098177,0.02520853,2.820153E+11,1.991578
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,1.775656,0.01287507,0.02975676,0.02489002,2.994705E+11,1.154176
-0.5,5.250283,0.02502599,0.06018807,0.06589783,7.392658E+11,3.412683
-0.25,12.87155,0.04334896,0.08421051,0.13624,1.662536E+12,8.366505
0,19.25799,0.04658744,0.08106346,0.1412609,2.130184E+12,12.5177
0.25,38.87191,0.06208111,0.1072173,0.1718284,3.703321E+12,25.26674
0.5,53.70961,0.06808035,0.1362266,0.1767162,3.851964E+12,34.91124
0.75,81.3322,0.07771798,0.171932,0.2112145,3.784206E+12,52.8659
1,102.8764,0.08708598,0.138035,0.2297076,3.731677E+12,66.86967
1.25,129.8006,0.1011429,0.1869654,0.2738842,5.412426E+12,84.37037
1.5,160.5294,0.1079223,0.1872455,0.3189798,6.65415E+12,104.3441
1.75,185.0816,0.116777,0.190857,0.3788416,9.570414E+12,120.303
2,205.3971,0.1187581,0.1872073,0.4074949,1.159979E+13,133.5081
2.25,236.6059,0.129436,0.1918824,0.4624496,1.303631E+13,153.7939
2.5,249.2281,0.1367325,0.202417,0.5090559,1.459537E+13,161.9982
2.75,274.1509,0.1504058,0.2226587,0.5599615,1.605491E+13,178.1981
3,299.0737,0.1640791,0.2429004,0.6108671,1.751445E+13,194.3979
3.25,323.9965,0.1777523,0.2631421,0.6617727,1.897399E+13,210.5977
3.5,348.9193,0.1914256,0.2833838,0.7126783,2.043353E+13,226.7976
3.75,373.8422,0.2050988,0.3036255,0.7635838,2.189306E+13,242.9974
4,398.765,0.2187721,0.3238672,0.8144894,2.33526E+13,259.1972
4.25,423.6878,0.2324454,0.3441089,0.865395,2.481214E+13,275.397
4.5,448.6106,0.2461186,0.3643506,0.9163006,2.627168E+13,291.5969
4.75,473.5334,0.2597919,0.3845923,0.9672062,2.773122E+13,307.7967
5,498.4563,0.2734651,0.404834,1.018112,2.919075E+13,323.9965
5.25,523.3791,0.2871384,0.4250757,1.069017,3.065029E+13,340.1964
5.5,548.3019,0.3008116,0.4453174,1.119923,3.210983E+13,356.3962
5.75,573.2247,0.3144849,0.4655592,1.170829,3.356937E+13,372.596
6,598.1475,0.3281581,0.4858009,1.221734,3.502891E+13,388.7958
