cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 116.482,Extrapolation: Pe: -0.2; 1
idle,0.3198611,0.03449044,0.07045334,0.01074921,3.469897E+12,0.2946649
-0.2,0,0,0,0,0,0
-0.1,0.131428,0.03439432,0.007734968,0.02478958,5.323493E+12,0.08773428
0,0.3879544,0.0801954,0.1424916,0.06336196,9.01597E+12,0.3586417
0.1,1.06012,0.1606487,0.3901339,0.0634893,2.457832E+13,1.025422
0.2,1.565102,0.1659128,0.4288661,0.07042196,3.348706E+13,1.520688
0.3,2.218217,0.169107,0.4071974,0.07925636,3.85281E+13,2.117473
0.4,2.91299,0.1605363,0.3715406,0.08554231,3.70765E+13,2.76605
0.5,3.429749,0.1885585,0.4520857,0.1030004,4.225481E+13,3.254279
0.6,4.191228,0.1804772,0.6540775,0.1171403,4.396237E+13,3.988926
0.7,4.87575,0.1784288,0.8668662,0.130088,3.941923E+13,4.635568
0.8000001,5.399929,0.2132085,0.9450797,0.1601209,4.194922E+13,5.112473
0.9000001,5.997171,0.1993139,1.333725,0.2178652,2.299466E+13,5.814838
1,6.663524,0.2214599,1.481917,0.2420724,2.554962E+13,6.460931
