cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 241.9065,Extrapolation: Pe: -0.2,,,,,
idle,0.423856925,0.004895299,0.21090127,0.002834023,2.33359E+12,0.38359045
-0.2,0,0,0,0,0,0
-0.1,0.039535428,0.002084682,0.037252151,0.001464049,2.49121E+12,0.034317563
0,0.187573025,0.004908306,0.084181505,0.002322428,4.40011E+12,0.16914365
0.1,0.5778682,0.008855953,0.1995064,0.006604482,8.97293E+12,0.52389895
0.2,0.69653945,0.011238797,0.2714631,0.011611303,1.51922E+13,0.629357825
0.3,0.842770425,0.012435582,0.349083325,0.016778758,2.1399E+13,0.761906975
0.4,1.021161025,0.014401803,0.433933825,0.018454428,2.30517E+13,0.9239844
0.5,1.17265925,0.015620015,0.5654896,0.019271435,2.2916E+13,1.059394
0.6,1.3694165,0.016832373,0.6766777,0.020304555,2.33741E+13,1.23643525
0.7,1.69191575,0.017804925,0.60881865,0.017939585,2.22234E+13,1.53176625
0.8000001,1.35368075,0.0182009,0.51099625,0.018000743,2.42708E+13,1.21706425
0.9000001,1.724665,0.01853659,0.443624125,0.016564098,2.23955E+13,1.55852
1,1.248391,0.02065502,0.350759125,0.014036695,2.09169E+13,1.117817775
