cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 115.9428,Extrapolation: Pe: -0.2; 1
idle,0.4055804,0.018229,0.0429081,0.004203954,5.150009E+12,0.3741177
-0.2,0,0,0,0,0,0
-0.1,0.1536129,0.02146438,0.03636035,0.01568169,7.565157E+12,0.1571018
0,0.3817338,0.04651513,0.1868173,0.02426369,1.305337E+13,0.3461393
0.1,0.9866585,0.08585753,0.3015195,0.02170785,3.607635E+13,0.8917763
0.2,1.285128,0.08371895,0.3300764,0.0301819,4.901327E+13,1.190224
0.3,1.618479,0.09046598,0.370506,0.03966841,5.876455E+13,1.513661
0.4,1.991412,0.0809488,0.3600454,0.03667263,5.560752E+13,1.878529
0.5,2.374689,0.08739912,0.4351921,0.03902172,6.272451E+13,2.265036
0.6,2.981855,0.0855234,0.5266644,0.04039517,6.645589E+13,2.865163
0.7,3.304129,0.09216403,0.5441158,0.04470851,6.378281E+13,3.178381
0.8000001,3.806141,0.09353688,0.8484928,0.05672295,6.202533E+13,3.713994
0.9000001,3.968959,0.1079785,0.6059662,0.05222616,4.731321E+13,3.84902
1,4.409954,0.1199761,0.6732957,0.05802907,5.257023E+13,4.276689
