cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 115.6039,Extrapolation: Pe: -0.2; 0.9000001 - 1
idle,0.008940961,0.002421034,0.002999912,0.000399983,6.749668E+09,0.005675104
-0.2,0,0,0,0,0,0
-0.1,1.103947E-08,0.0001155562,1.78519E-09,0,574.8311,7.007086E-09
0,0.007261781,0.001719058,0.004391531,0.0002183871,3.676742E+09,0.004610904
0.1,0.04259175,0.006371699,0.03153859,0.0007508504,1.03241E+10,0.02703568
0.2,0.05781633,0.007180324,0.0431048,0.0008859611,1.070241E+10,0.03670258
0.3,0.06692198,0.007428529,0.06016199,0.001075232,1.352561E+10,0.04250013
0.4,0.0776704,0.00819464,0.03849394,0.001287148,1.680132E+10,0.04932277
0.5,0.09472626,0.008686293,0.02270265,0.001307421,1.569832E+10,0.06015776
0.6,0.1007892,0.01027392,0.02101495,0.001290208,1.415312E+10,0.06402135
0.7,0.09857865,0.0102451,0.02592119,0.001459409,1.823395E+10,0.06260684
0.8000001,0.09163971,0.01016473,0.02904885,0.001552769,2.046056E+10,0.0581967
0.9000001,0.1030947,0.01143533,0.03267996,0.001746865,2.301813E+10,0.06547128
1,0.1145496,0.01270592,0.03631107,0.001940961,2.557569E+10,0.07274587
