cp_norm(rated),FC
[-],[g/kWrated]
Pdrive (Engine)= 20.58344,
idle,4.339491
-0.2,15.53084
-0.1,11.05687
0,27.58068
0.1,46.03061
0.2,63.53813
0.3,86.11981
0.4,108.219
0.5,126.9256
0.6,142.97
0.7,163.3436
0.8000001,186.7611
0.9000001,210.905
1,218.8621
