cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 22.77612,Extrapolation: Pe: -1.5 - -0.75; 3 - 6
idle,0.1554337,0.06197368,3.445581,0.0006198565,3.653935E+12,0.1461082
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,0.9615013,0.3693417,56.77094,0.2314418,4.494538E+13,0.9038112
-0.25,0.52369,0.2675183,24.35359,0.07503302,2.808668E+13,0.4922686
0,0.9966895,0.27279,35.14394,0.1198474,3.334395E+13,0.9368879
0.25,2.01235,0.354269,39.56549,0.1246501,5.939442E+13,1.891609
0.5,3.075836,0.5445479,52.54792,0.1662019,7.415213E+13,2.891286
0.75,3.662018,0.9527683,87.19783,0.2968434,1.106621E+14,3.442297
1,3.968044,1.628836,160.6618,0.5127522,1.790111E+14,3.729962
1.25,4.962665,2.207605,229.3911,0.7200801,3.685729E+14,4.664906
1.5,5.256987,3.236896,404.7654,1.14721,6.459712E+14,4.941568
1.75,6.675237,4.978158,763.7521,1.983702,9.806906E+14,6.274723
2,8.623723,7.272375,1724.589,4.108382,1.321837E+15,8.106299
2.25,7.286645,10.65618,2446.999,4.57323,1.779959E+15,6.849448
2.5,7.353144,12.88994,3138.822,7.086668,1.775059E+15,6.911955
2.75,7.411748,15.35631,3642.586,7.756432,2.01583E+15,6.967043
3,8.085544,16.75234,3973.73,8.461562,2.199087E+15,7.60041
3.25,8.759339,18.14837,4304.875,9.166693,2.382344E+15,8.233778
3.5,9.433135,19.5444,4636.019,9.871823,2.565601E+15,8.867146
3.75,10.10693,20.94043,4967.163,10.57695,2.748859E+15,9.500513
4,10.78073,22.33646,5298.307,11.28208,2.932116E+15,10.13388
4.25,11.45452,23.73248,5629.451,11.98722,3.115373E+15,10.76725
4.5,12.12832,25.12851,5960.595,12.69235,3.29863E+15,11.40062
4.75,12.80211,26.52454,6291.739,13.39748,3.481887E+15,12.03398
5,13.47591,27.92057,6622.883,14.10261,3.665144E+15,12.66735
5.25,14.1497,29.3166,6954.027,14.80774,3.848401E+15,13.30072
5.5,14.8235,30.71263,7285.171,15.51287,4.031658E+15,13.93409
5.75,15.4973,32.10866,7616.315,16.218,4.214916E+15,14.56745
6,16.17109,33.50469,7947.459,16.92313,4.398173E+15,15.20082
