cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 24.06886,Extrapolation: Pe: -1.5 - -0.75; 3 - 6
idle,0.6888824,35.00763,291.7344,0.007870364,3.803839E+12,0.6475524
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,0.8064576,31.64101,329.5753,0.5941035,4.715347E+13,0.7580702
-0.25,1.437913,34.71764,456.403,0.2282046,3.108008E+13,1.351638
0,5.48865,44.41898,502.5284,0.3530214,3.854459E+13,5.159329
0.25,50.55037,56.68551,651.7982,0.4577395,6.744301E+13,47.51734
0.5,127.7399,75.68916,843.6974,0.4600374,7.052666E+13,120.0754
0.75,212.0493,87.05171,953.3901,0.8403984,1.158627E+14,199.3263
1,317.6727,92.98146,1103.877,1.594764,2.046365E+14,298.6124
1.25,420.6582,119.3839,1732.968,2.369476,3.510825E+14,395.4187
1.5,471.6427,183.2149,2974.988,3.809448,6.592767E+14,443.3441
1.75,478.246,171.6763,4318.039,6.040006,1.003283E+15,449.5511
2,334.0319,222.3588,8134.173,13.66968,1.386409E+15,313.99
2.25,178.242,268.0708,12667.23,20.72285,1.77938E+15,167.5475
2.5,189.8326,283.3158,13893.39,23.6664,1.87887E+15,178.4426
2.75,201.8091,301.2387,14970.77,25.28625,2.02742E+15,189.7005
3,220.1553,328.6241,16331.75,27.585,2.211731E+15,206.946
3.25,238.5016,356.0094,17692.73,29.88375,2.396042E+15,224.1915
3.5,256.8479,383.3948,19053.71,32.1825,2.580353E+15,241.437
3.75,275.1942,410.7801,20414.69,34.48125,2.764664E+15,258.6825
4,293.5405,438.1655,21775.67,36.78001,2.948975E+15,275.928
4.25,311.8867,465.5508,23136.64,39.07876,3.133286E+15,293.1736
4.5,330.233,492.9362,24497.62,41.37751,3.317597E+15,310.4191
4.75,348.5793,520.3215,25858.6,43.67626,3.501908E+15,327.6646
5,366.9256,547.7068,27219.58,45.97501,3.686219E+15,344.9101
5.25,385.2719,575.0921,28580.56,48.27377,3.87053E+15,362.1556
5.5,403.6182,602.4774,29941.54,50.57252,4.054841E+15,379.4011
5.75,421.9644,629.8627,31302.52,52.87127,4.239152E+15,396.6466
6,440.3107,657.248,32663.49,55.17002,4.423463E+15,413.8922
