cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 156.5131,Extrapolation: Pe: -0.2
idle,0.00719653,0.002166674,0.00302647,0.000354857,6.031388E+09,0.004571153
-0.2,0,0,0,0,0,0
-0.1,5.480455E-06,0.000138405,6.101249E-07,6.932543E-11,195970.8,3.478594E-06
0,0.007514401,0.001760882,0.004109165,0.0002367059,3.992084E+09,0.004771708
0.1,0.0429778,0.006052195,0.03039759,0.0007317389,1.032466E+10,0.0272796
0.2,0.06626236,0.006955647,0.05207034,0.0008009779,9.62778E+09,0.04206491
0.3,0.07946885,0.006845595,0.06382092,0.0009442051,1.097987E+10,0.05046486
0.4,0.1019242,0.007328052,0.05262423,0.001004547,1.108633E+10,0.06472269
0.5,0.1129247,0.008401437,0.02966987,0.001179694,1.229797E+10,0.07171254
0.6,0.111733,0.01023422,0.01992877,0.001327997,1.396479E+10,0.07097144
0.7,0.116071,0.01109478,0.02154009,0.001407231,1.564087E+10,0.07371885
0.8000001,0.1273579,0.01143227,0.01936465,0.001524717,1.46729E+10,0.08088254
0.9000001,0.123473,0.01046779,0.02788388,0.001580341,1.936798E+10,0.07841638
1,0.1142493,0.01032071,0.03534485,0.001605016,2.169824E+10,0.07255763
