cp_norm(rated),NOx,HC,CO,PM,PN,NO
[-],[g/h]norm,[g/h]norm,[g/h]norm,[g/h]norm,[#/h]norm,[g/h]norm
Pdrive (Engine)= 115.8522,Extrapolation: Pe: -0.2; 0.9000001 - 1,,,,,
idle,0.257850525,0.001445022,0.08375818,0.00098997,1.40593E+12,0.234067675
-0.2,0,0,0,0,0,0
-0.1,1.05413E-05,0.00066999,3.93782E-05,0.000687405,1.70481E+12,9.24234E-06
0,0.135119175,0.001520484,0.057453053,0.001300095,2.53246E+12,0.121788565
0.1,0.6817892,0.005234377,0.23726645,0.006101071,8.51451E+12,0.6124653
0.2,1.008855075,0.00671361,0.299926725,0.009556773,1.15997E+13,0.9046446
0.3,1.19241175,0.007406793,0.33900425,0.011650208,1.33651E+13,1.067248075
0.4,1.55819925,0.009963763,0.459779625,0.014419215,1.44367E+13,1.39881075
0.5,1.890084,0.011670502,0.63818985,0.016992753,1.55604E+13,1.6912825
0.6,2.1363325,0.012790223,0.7827246,0.018228813,1.51612E+13,1.902621
0.7,2.0592435,0.014113818,0.6024531,0.014530383,1.43642E+13,1.83146675
0.8000001,2.46898675,0.015373735,0.6061552,0.014946733,1.50466E+13,2.200492
0.9000001,2.77761025,0.017295448,0.681924625,0.016815083,1.69274E+13,2.4755535
1,3.08623375,0.019217168,0.7576941,0.018683423,1.88083E+13,2.750615
