cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 27.26986,Extrapolation: Pe: -1.5 - -1.25; 3 - 6
idle,1.094947,0.009962245,0.03045256,0.02268786,1.520093E+11,0.7664561
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0.1183961,0.001719778,0.003038227,0.00363031,2.133333E+10,0.08287729
-0.75,0.6783554,0.01232342,0.04638706,0.0239143,1.715531E+11,0.4748487
-0.5,2.086477,0.02507306,0.09431931,0.06520583,4.435697E+11,1.460534
-0.25,4.686152,0.03962843,0.1218952,0.1235794,9.168435E+11,3.280307
0,6.919687,0.04234836,0.1179255,0.1280947,1.15214E+12,4.843781
0.25,13.82243,0.05628447,0.1549627,0.1568287,1.993456E+12,9.675699
0.5,18.70407,0.06146216,0.1925063,0.1574065,2.085829E+12,13.09284
0.75,28.44056,0.07018186,0.2461039,0.1929995,2.079089E+12,19.9084
1,35.51512,0.07751833,0.1923138,0.2021215,1.988281E+12,24.86059
1.25,45.33646,0.09148906,0.2599182,0.2467738,2.843057E+12,31.73554
1.5,56.24038,0.09795173,0.2662069,0.2891276,3.549613E+12,39.36826
1.75,64.89577,0.1063841,0.2817117,0.3410225,4.963484E+12,45.42704
2,71.78277,0.1066031,0.2652268,0.352042,6.118692E+12,50.24794
2.25,82.71793,0.1143059,0.2716753,0.4123384,6.790341E+12,57.90255
2.5,87.31023,0.1216487,0.2881192,0.4440465,7.908731E+12,61.11717
2.75,90.29901,0.1272727,0.3028476,0.4622729,7.24939E+12,63.2093
3,98.50801,0.1388429,0.3303792,0.5042977,7.908426E+12,68.9556
3.25,106.717,0.1504132,0.3579108,0.5463225,8.567461E+12,74.7019
3.5,114.926,0.1619834,0.3854424,0.5883473,9.226497E+12,80.4482
3.75,123.135,0.1735536,0.412974,0.630372,9.885532E+12,86.1945
4,131.344,0.1851239,0.4405056,0.6723968,1.054457E+13,91.9408
4.25,139.553,0.1966941,0.4680372,0.7144216,1.12036E+13,97.6871
4.5,147.762,0.2082644,0.4955688,0.7564464,1.186264E+13,103.4334
4.75,155.971,0.2198346,0.5231004,0.7984712,1.252167E+13,109.1797
5,164.18,0.2314049,0.550632,0.840496,1.318071E+13,114.926
5.25,172.389,0.2429751,0.5781636,0.8825208,1.383974E+13,120.6723
5.5,180.598,0.2545454,0.6056952,0.9245456,1.449878E+13,126.4186
5.75,188.807,0.2661156,0.6332269,0.9665704,1.515781E+13,132.1649
6,197.016,0.2776859,0.6607585,1.008595,1.581685E+13,137.9112
